"urlDrugName","rating","effectiveness","sideEffects","condition","benefitsReview","sideEffectsReview","sideEffectsNumber","effectivenessNumber","weightedRating","ratingLabel","sideEffectsInverse","benefits_preprocesado","effects_preprocesado"
"enalapril",4,"Highly Effective","Mild Side Effects","management of congestive heart failure","slowed the progression of left ventricular dysfunction into overt heart failure 


alone or with other agents in the managment of hypertension 


mangagement of congestive heart failur","cough, hypotension , proteinuria, impotence , renal failure , angina pectoris , tachycardia , eosinophilic pneumonitis, tastes disturbances , anusease anorecia , weakness fatigue insominca weakness",2,5,10,0,4,"slow progress left ventricular dysfunct overt heart failur alon agent manag hypertens mangag congest heart failur","cough hypotens proteinuria impot renal failur angina pectori tachycardia eosinophil pneumon tast disturb anuseas anorecia weak fatigu insominca weak"
"ortho-tri-cyclen",1,"Highly Effective","Severe Side Effects","birth prevention","Although this type of birth control has more cons than pros, it did help with my cramps. It's also effective with the prevention of pregnancy. (Along with use of condoms as well)","Heavy Cycle, Cramps, Hot Flashes, Fatigue, Long Lasting Cycles. It's only been 5 1/2 months, but i'm concidering changing to a different bc. This is my first time using any kind of bc, unfortunately due to the constant hassel, i'm not happy with the results.",4,5,8,0,2,"although type birth control con pros help cramp also effect prevent pregnanc along use condom well","heavi cycl cramp hot flash fatigu long last cycl 5 12 month im concid chang differ bc first time use kind bc unfortun due constant hassel im happi result"
"ponstel",10,"Highly Effective","No Side Effects","menstrual cramps","I was used to having cramps so badly that they would leave me balled up in bed for at least 2 days.  The Ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. Definitely a miracle medication!!","Heavier bleeding and clotting than normal.",1,5,10,1,5,"use cramp bad leav ball bed least 2 day ponstel doesnt take pain away complet take edg much normal activ possibl definit miracl medic","heavier bleed clot normal"
"prilosec",3,"Marginally Effective","Mild Side Effects","acid reflux","The acid reflux went away for a few months after just a few days of being on the drug. The heartburn started again as soon as I stopped taking it. So I began treatment again. 6 months passed and I stopped taking it. The heartburn came back, and seemed worse even. The doctor said I should try another 6 month treatment. I did, and the same exact thing happened. This went on for about three years. I asked why this wasn't curing my reflux. The doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". I was told that I would probably be on it for the rest of my life.","Constipation, dry mouth and some mild dizziness that would go away after medication was stopped for a few days.",2,2,6,0,4,"acid reflux went away month just day drug heartburn start soon stop take began treatment 6 month pass stop take heartburn came back seem wors even doctor said tri anoth 6 month treatment exact thing happen went three year ask wasnt cure reflux doctor quit frank told wasnt cure treatment symptom told probabl rest life","constip dri mouth mild dizzi go away medic stop day"
"lyrica",2,"Marginally Effective","Severe Side Effects","fibromyalgia","I think that the Lyrica was starting to help with the pain, but the side-effects were just too severe to continue.","I felt extremely drugged and dopey.  Could not drive at all while on this med.  Also had extreme ankle and feet swelling and couldn't even wear shoes.",4,2,4,0,2,"think lyrica start help pain sideeffect just sever continu","felt extrem drug dopey drive med also extrem ankl feet swell couldnt even wear shoe"
"propecia",1,"Ineffective","Severe Side Effects","hair loss","after taking propecia for over a year, starting when i was 20 years of age my hair continued to thin, and i noticed no significant benefits","Low sex drive, before i started taking this drug i was 19 years of age and full of ""enthousiasm"". Now engaged and 21 years old, my sex drive is very low, my wife and I are very unsatisfied. I am also very tired even during peak hours throughout the day, and its hard to concentrate on mundain tasks",4,1,2,0,2,"take propecia year start 20 year age hair continu thin notic signific benefit","low sex drive start take drug 19 year age full enthousiasm now engag 21 year old sex drive low wife unsatisfi also tire even peak hour throughout day hard concentr mundain task"
"vyvanse",9,"Highly Effective","Mild Side Effects","add","My mood has noticably improved, I have more energy, experience better sleep and digestion.","a few experiences of nausiea, heavy moodswings on the days I do not take it, decreased appetite, and some negative affect on my short-term memory.",2,5,10,1,4,"mood notic improv energi experi better sleep digest","experi nausiea heavi moodsw day take decreas appetit negat affect shortterm memori"
"elavil",10,"Considerably Effective","No Side Effects","depression","Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage.","None.",1,4,8,1,5,"although drug origin prescrib depress help sleepless therefor continu take alon still occas problem fall asleep find can combin melatonin valerian 12 year havent increas elavil dosag","none"
"xanax",10,"Highly Effective","No Side Effects","panic disorder","This simply just works fast and without any of the nasty side effects of SSRI medicines. I won't go into a long story of my panic attacks which I sought help for many years after the fact. This just works and it does what it's supposed to without any annoying side effects. When taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. I find it can also be used as needed along with the daily treatment.","I really don't have any side effects other than the mild but very tolerable issue of taking it 4-5 times a day which isn't an effect but just the way you need to take this. At first, within the first 1 day then couple of weeks after starting, this medicine is broken down by your body fast and you need to adjust your dose. Once I got past the ups and downs of the first week or two of getting this increased from .25 mg - 3 times per day to what I'm on now things are so stable and just smooth.",1,5,10,1,5,"simpli just work fast without nasti side effect ssri medicin wont go long stori panic attack sought help mani year fact just work suppos without annoy side effect taken daili stop panic attack start think pattern lead find can also use need along daili treatment","realli dont side effect mild toler issu take 45 time day isnt effect just way need take first within first 1 day coupl week start medicin broken bodi fast need adjust dose got past up down first week two get increas 25 mg 3 time per day im now thing stabl just smooth"
"claritin",1,"Ineffective","Extremely Severe Side Effects","allergies","none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen.","I had some horrifying mental and physical side effects. ruined a year of my life.  read this - it mentions everything i dealt with: http://www.askapatient.com/viewrating.asp?drug=19658&name=CLARITIN",5,1,2,0,1,"none noth help allergi just dryer pain version allergi new allergiesirrit develop top origin one stuff danger side effect mani peopl experienc list packag class action lawsuit need happen","horrifi mental physic side effect ruin year life read mention everyth dealt httpwwwaskapatientcomviewratingaspdrug19658nameclaritin"
